3156.48626293,497296.87245400,490269.19010754,7.69556000,6.47157300,6.49606400
3156.50669539,496979.77590700,490527.87830251,9.27137500,6.43142600,6.46784600
3156.52712806,496490.71006800,491046.68458792,7.83123400,6.38702700,6.43832400
3156.54756062,495977.97216400,492111.48329470,9.14939800,6.34116600,6.41054900
3156.56799328,494995.70318100,491739.92714989,8.03537100,6.29055300,6.37673900
3156.58842575,494258.59458300,492443.44527859,9.07887500,6.24862900,6.35254300
3156.60885831,493129.54661800,492768.49767044,8.28611700,6.20145000,6.32621700
3156.64972343,497705.67574700,492215.42600607,8.59567400,6.45262000,6.50104100
3156.67015599,497328.00431800,492231.24617793,8.51688600,6.40686800,6.46964500
3156.69058865,496782.14173900,492472.21001884,9.47564300,6.36099700,6.44191200
3156.71102111,496024.05687500,492999.08482053,8.62249900,6.31173000,6.40971900
3156.73145367,495529.57864500,493950.72792492,8.66679600,6.26260600,6.38146500
3156.75188632,493631.97665100,493867.64949671,9.53268100,6.20375400,6.34365100
3156.77231888,492164.45008000,494116.73791628,8.50402300,6.15697100,6.31641100
3156.79275144,490031.95236900,495511.18435795,8.98746200,6.10569900,6.28647400
3156.81318399,487167.52402400,497257.68680875,8.20990600,6.05185100,6.25720600
3156.83361655,483573.09723000,498339.74129165,8.33647600,5.99756900,6.22777700
3156.85404910,478568.74005500,501100.17291318,8.52773200,5.94084600,6.19425400
3156.89491421,499286.00650000,492853.69062675,7.59447800,6.78713400,6.74702000
3156.91534687,499474.61897600,492855.99140513,8.48758100,6.72682600,6.71138500
3156.93577932,499491.94430200,493499.66095168,8.16532200,6.67431800,6.67830000
3156.95621187,499349.53035800,493327.00152743,7.83362600,6.62213400,6.64407200
3156.97664452,499158.06140600,493122.51939030,9.48706000,6.57934200,6.61599000
3156.99707697,498950.75449200,493486.69028262,8.23960400,6.53957200,6.59106700
3157.01750952,498598.60581500,494095.92683853,8.08875900,6.49574800,6.56241700
3157.03794207,498188.52791200,494302.24754237,10.50902800,6.45074000,6.53284400
3157.05837462,497606.04064300,494575.39505774,9.44051400,6.40469300,6.49815700
3157.07880727,496867.61304100,494123.27274716,8.38276000,6.35642600,6.47061400
3157.09923972,496124.16333300,494292.30316964,8.54714700,6.31375200,6.44075500
3157.14010492,497277.69664200,494917.48859681,9.01586900,6.39379700,6.49851300
3157.16053736,496445.99225900,494853.23964537,8.20204600,6.34565100,6.46584000
3157.18096991,495565.65186500,496002.42551001,8.91928800,6.29490700,6.43319400
3157.20140256,494511.41363200,496027.69222519,10.62940600,6.25310000,6.40769100
3157.22183500,493088.32524500,494329.50983542,8.08880700,6.20690400,6.37806200
3157.24226755,491226.66690900,493936.05755873,9.44929600,6.15684600,6.34887000
3157.26270019,488968.00638400,494492.56737340,7.43309000,6.10777300,6.32021600
3157.28313263,485875.03420700,495869.81429007,8.40907100,6.05377000,6.29033900
